donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.058,HIP,H14.09.058.HIP.01_HIP,RS5-501204,ar_496100491,H501-1204,H14.09.058.HIP.01
H14.09.058,FWM,H14.09.058.PCx.01_FWM,RS5-501205,ar_496100458,H501-1205,H14.09.058.PCx.01
H14.09.058,PCx,H14.09.058.PCx.01_PCx,RS5-501206,ar_496100481,H501-1206,H14.09.058.PCx.01
H14.09.058,TCx,H14.09.058.TCx.03_TCx,RS5-501207,ar_496100493,H501-1207,H14.09.058.TCx.03
H14.09.059,HIP,H14.09.059.HIP.01_HIP,RS5-501208,ar_496100478,H501-1208,H14.09.059.HIP.01
H14.09.059,FWM,H14.09.059.PCx.01_FWM,RS5-501209,ar_496100455,H501-1209,H14.09.059.PCx.01
H14.09.059,PCx,H14.09.059.PCx.01_PCx,RS5-501210,ar_496100462,H501-1210,H14.09.059.PCx.01
H14.09.059,TCx,H14.09.059.TCx.01_TCx,RS5-501211,ar_496100457,H501-1211,H14.09.059.TCx.01
H14.09.060,HIP,H14.09.060.HIP.01_HIP,RS5-501212,ar_496100490,H501-1212,H14.09.060.HIP.01
H14.09.060,FWM,H14.09.060.PCx.01_FWM,RS5-501213,ar_496100484,H501-1213,H14.09.060.PCx.01
H14.09.060,PCx,H14.09.060.PCx.01_PCx,RS5-501214,ar_496100486,H501-1214,H14.09.060.PCx.01
H14.09.060,TCx,H14.09.060.TCx.01_TCx,RS5-501215,ar_496100475,H501-1215,H14.09.060.TCx.01
H14.09.061,HIP,H14.09.061.HIP.01_HIP,RS5-501216,ar_496100470,H501-1216,H14.09.061.HIP.01
H14.09.061,FWM,H14.09.061.PCx.01_FWM,RS5-501217,ar_496100474,H501-1217,H14.09.061.PCx.01
H14.09.061,PCx,H14.09.061.PCx.01_PCx,RS5-501218,ar_496100461,H501-1218,H14.09.061.PCx.01
H14.09.061,TCx,H14.09.061.TCx.01_TCx,RS5-501219,ar_496100473,H501-1219,H14.09.061.TCx.01
H14.09.062,HIP,H14.09.062.HIP.03_HIP,RS5-501220,ar_496100471,H501-1220,H14.09.062.HIP.03
H14.09.062,FWM,H14.09.062.PCx.01_FWM,RS5-501221,ar_496100464,H501-1221,H14.09.062.PCx.01
H14.09.062,PCx,H14.09.062.PCx.01_PCx,RS5-501222,ar_496100459,H501-1222,H14.09.062.PCx.01
H14.09.062,TCx,H14.09.062.TCx.01_TCx,RS5-501223,ar_496100488,H501-1223,H14.09.062.TCx.01
H14.09.063,HIP,H14.09.063.HIP.01_HIP,RS5-501224,ar_496100515,H501-1224,H14.09.063.HIP.01
H14.09.063,FWM,H14.09.063.PCx.01_FWM,RS5-501226,ar_496100530,H501-1226,H14.09.063.PCx.01
H14.09.063,PCx,H14.09.063.PCx.01_PCx,RS5-501225,ar_496100522,H501-1225,H14.09.063.PCx.01
H14.09.063,TCx,H14.09.063.TCx.01_TCx,RS5-501227,ar_496100502,H501-1227,H14.09.063.TCx.01
H14.09.064,HIP,H14.09.064.HIP.01_HIP,RS5-501228,ar_496100510,H501-1228,H14.09.064.HIP.01
H14.09.064,FWM,H14.09.064.PCx.01_FWM,RS5-501230,ar_496100531,H501-1230,H14.09.064.PCx.01
H14.09.064,PCx,H14.09.064.PCx.01_PCx,RS5-501229,ar_496100506,H501-1229,H14.09.064.PCx.01
H14.09.064,TCx,H14.09.064.TCx.01_TCx,RS5-501231,ar_496100533,H501-1231,H14.09.064.TCx.01
H14.09.065,HIP,H14.09.065.HIP.01_HIP,RS5-501232,ar_496100518,H501-1232,H14.09.065.HIP.01
H14.09.066,HIP,H14.09.066.HIP.01_HIP,RS5-501233,ar_496100523,H501-1233,H14.09.066.HIP.01
H14.09.066,FWM,H14.09.066.PCx.01_FWM,RS5-501235,ar_496100527,H501-1235,H14.09.066.PCx.01
H14.09.066,PCx,H14.09.066.PCx.01_PCx,RS5-501234,ar_496100508,H501-1234,H14.09.066.PCx.01
H14.09.066,TCx,H14.09.066.TCx.01_TCx,RS5-501236,ar_496100505,H501-1236,H14.09.066.TCx.01
H14.09.067,HIP,H14.09.067.HIP.01_HIP,RS5-501237,ar_496100509,H501-1237,H14.09.067.HIP.01
H14.09.067,FWM,H14.09.067.PCx.01_FWM,RS5-501239,ar_496100507,H501-1239,H14.09.067.PCx.01
H14.09.067,PCx,H14.09.067.PCx.01_PCx,RS5-501238,ar_496100498,H501-1238,H14.09.067.PCx.01
H14.09.067,TCx,H14.09.067.TCx.01_TCx,RS5-501240,ar_496100526,H501-1240,H14.09.067.TCx.01
H14.09.068,HIP,H14.09.068.HIP.01_HIP,RS5-501241,ar_496100503,H501-1241,H14.09.068.HIP.01
H14.09.068,FWM,H14.09.068.PCx.01_FWM,RS5-501243,ar_496100534,H501-1243,H14.09.068.PCx.01
H14.09.068,PCx,H14.09.068.PCx.01_PCx,RS5-501242,ar_496100512,H501-1242,H14.09.068.PCx.01
H14.09.068,TCx,H14.09.068.TCx.01_TCx,RS5-501244,ar_496100525,H501-1244,H14.09.068.TCx.01
H14.09.069,HIP,H14.09.069.HIP.01_HIP,RS5-501245,ar_496100520,H501-1245,H14.09.069.HIP.01
H14.09.069,FWM,H14.09.069.PCx.01_FWM,RS5-501247,ar_496100514,H501-1247,H14.09.069.PCx.01
H14.09.069,PCx,H14.09.069.PCx.01_PCx,RS5-501246,ar_496100524,H501-1246,H14.09.069.PCx.01
H14.09.069,TCx,H14.09.069.TCx.01_TCx,RS5-501248,ar_496100513,H501-1248,H14.09.069.TCx.01
H14.09.070,HIP,H14.09.070.HIP.01_HIP,RS5-501249,ar_496100521,H501-1249,H14.09.070.HIP.01
H14.09.070,FWM,H14.09.070.PCx.01_FWM,RS5-501251,ar_496100528,H501-1251,H14.09.070.PCx.01
H14.09.070,PCx,H14.09.070.PCx.01_PCx,RS5-501250,ar_496100499,H501-1250,H14.09.070.PCx.01
H14.09.070,TCx,H14.09.070.TCx.03_TCx,RS5-501252,ar_496100517,H501-1252,H14.09.070.TCx.03
H14.09.071,HIP,H14.09.071.HIP.01_HIP,RS5-501253,ar_496100519,H501-1253,H14.09.071.HIP.01
H14.09.071,FWM,H14.09.071.PCx.01_FWM,RS5-501255,ar_496100516,H501-1255,H14.09.071.PCx.01
H14.09.071,PCx,H14.09.071.PCx.01_PCx,RS5-501254,ar_496100500,H501-1254,H14.09.071.PCx.01
H14.09.071,TCx,H14.09.071.TCx.01_TCx,RS5-501256,ar_496100504,H501-1256,H14.09.071.TCx.01
H14.09.072,HIP,H14.09.072.HIP.01_HIP,RS5-501257,ar_496100529,H501-1257,H14.09.072.HIP.01
H14.09.072,FWM,H14.09.072.PCx.01_FWM,RS5-501259,ar_496100532,H501-1259,H14.09.072.PCx.01
H14.09.072,PCx,H14.09.072.PCx.01_PCx,RS5-501258,ar_496100501,H501-1258,H14.09.072.PCx.01
H14.09.072,TCx,H14.09.072.TCx.01_TCx,RS5-501260,ar_496100511,H501-1260,H14.09.072.TCx.01
H14.09.073,FWM,H14.09.073.PCx.01_FWM,RS5-501262,ar_496100565,H501-1262,H14.09.073.PCx.01
H14.09.073,PCx,H14.09.073.PCx.01_PCx,RS5-501263,ar_496100558,H501-1263,H14.09.073.PCx.01
H14.09.073,TCx,H14.09.073.TCx.01_TCx,RS5-501264,ar_496100540,H501-1264,H14.09.073.TCx.01
H14.09.074,HIP,H14.09.074.HIP.01_HIP,RS5-501265,ar_496100547,H501-1265,H14.09.074.HIP.01
H14.09.074,FWM,H14.09.074.PCx.01_FWM,RS5-501266,ar_496100566,H501-1266,H14.09.074.PCx.01
H14.09.074,PCx,H14.09.074.PCx.01_PCx,RS5-501267,ar_496100542,H501-1267,H14.09.074.PCx.01
H14.09.074,TCx,H14.09.074.TCx.03_TCx,RS5-501268,ar_496100564,H501-1268,H14.09.074.TCx.03
H14.09.075,HIP,H14.09.075.HIP.01_HIP,RS5-501269,ar_496100539,H501-1269,H14.09.075.HIP.01
H14.09.075,FWM,H14.09.075.PCx.01_FWM,RS5-501270,ar_496100543,H501-1270,H14.09.075.PCx.01
H14.09.075,PCx,H14.09.075.PCx.01_PCx,RS5-501271,ar_496100561,H501-1271,H14.09.075.PCx.01
H14.09.075,TCx,H14.09.075.TCx.01_TCx,RS5-501272,ar_496100553,H501-1272,H14.09.075.TCx.01
H14.09.076,HIP,H14.09.076.HIP.03_HIP,RS5-501273,ar_496100570,H501-1273,H14.09.076.HIP.03
H14.09.076,FWM,H14.09.076.PCx.01_FWM,RS5-501274,ar_496100554,H501-1274,H14.09.076.PCx.01
H14.09.076,PCx,H14.09.076.PCx.01_PCx,RS5-501275,ar_496100544,H501-1275,H14.09.076.PCx.01
H14.09.076,TCx,H14.09.076.TCx.01_TCx,RS5-501276,ar_496100546,H501-1276,H14.09.076.TCx.01
H14.09.077,FWM,H14.09.077.PCx.01_FWM,RS5-501277,ar_496100537,H501-1277,H14.09.077.PCx.01
H14.09.077,PCx,H14.09.077.PCx.01_PCx,RS5-501278,ar_496100560,H501-1278,H14.09.077.PCx.01
H14.09.078,HIP,H14.09.078.HIP.01_HIP,RS5-501279,ar_496100536,H501-1279,H14.09.078.HIP.01
H14.09.078,TCx,H14.09.078.TCx.01_TCx,RS5-501280,ar_496100556,H501-1280,H14.09.078.TCx.01
H14.09.079,FWM,H14.09.079.PCx.01_FWM,RS5-501281,ar_496100549,H501-1281,H14.09.079.PCx.01
H14.09.079,PCx,H14.09.079.PCx.01_PCx,RS5-501282,ar_496100567,H501-1282,H14.09.079.PCx.01
H14.09.079,TCx,H14.09.079.TCx.01_TCx,RS5-501283,ar_496100550,H501-1283,H14.09.079.TCx.01
H14.09.080,HIP,H14.09.080.HIP.01_HIP,RS5-501284,ar_496100538,H501-1284,H14.09.080.HIP.01
H14.09.080,FWM,H14.09.080.PCx.01_FWM,RS5-501285,ar_496100559,H501-1285,H14.09.080.PCx.01
H14.09.080,PCx,H14.09.080.PCx.01_PCx,RS5-501286,ar_496100551,H501-1286,H14.09.080.PCx.01
H14.09.080,TCx,H14.09.080.TCx.01_TCx,RS5-501287,ar_496100555,H501-1287,H14.09.080.TCx.01
H14.09.081,HIP,H14.09.081.HIP.01_HIP,RS5-501288,ar_496100548,H501-1288,H14.09.081.HIP.01
H14.09.081,FWM,H14.09.081.PCx.01_FWM,RS5-501289,ar_496100562,H501-1289,H14.09.081.PCx.01
H14.09.081,PCx,H14.09.081.PCx.01_PCx,RS5-501290,ar_496100563,H501-1290,H14.09.081.PCx.01
H14.09.081,TCx,H14.09.081.TCx.01_TCx,RS5-501291,ar_496100557,H501-1291,H14.09.081.TCx.01
H14.09.082,HIP,H14.09.082.HIP.01_HIP,RS5-501292,ar_496100545,H501-1292,H14.09.082.HIP.01
H14.09.082,FWM,H14.09.082.PCx.01_FWM,RS5-501293,ar_496100541,H501-1293,H14.09.082.PCx.01
H14.09.082,PCx,H14.09.082.PCx.01_PCx,RS5-501294,ar_496100552,H501-1294,H14.09.082.PCx.01
H14.09.082,TCx,H14.09.082.TCx.01_TCx,RS5-501295,ar_496100569,H501-1295,H14.09.082.TCx.01
H14.09.083,HIP,H14.09.083.HIP.01_HIP,RS5-501296,ar_496100576,H501-1296,H14.09.083.HIP.01
H14.09.083,FWM,H14.09.083.PCx.01_FWM,RS5-501297,ar_496100571,H501-1297,H14.09.083.PCx.01
H14.09.083,PCx,H14.09.083.PCx.01_PCx,RS5-501298,ar_496100589,H501-1298,H14.09.083.PCx.01
H14.09.083,TCx,H14.09.083.TCx.01_TCx,RS5-501299,ar_496100602,H501-1299,H14.09.083.TCx.01
H14.09.084,HIP,H14.09.084.HIP.01_HIP,RS5-501300,ar_496100573,H501-1300,H14.09.084.HIP.01
H14.09.085,HIP,H14.09.085.HIP.03_HIP,RS5-501301,ar_496100604,H501-1301,H14.09.085.HIP.03
H14.09.085,TCx,H14.09.085.TCx.01_TCx,RS5-501302,ar_496100593,H501-1302,H14.09.085.TCx.01
H14.09.086,HIP,H14.09.086.HIP.01_HIP,RS5-501303,ar_496100584,H501-1303,H14.09.086.HIP.01
H14.09.086,FWM,H14.09.086.PCx.01_FWM,RS5-501304,ar_496100590,H501-1304,H14.09.086.PCx.01
H14.09.086,PCx,H14.09.086.PCx.01_PCx,RS5-501305,ar_496100595,H501-1305,H14.09.086.PCx.01
H14.09.086,TCx,H14.09.086.TCx.01_TCx,RS5-501306,ar_496100599,H501-1306,H14.09.086.TCx.01
H14.09.087,HIP,H14.09.087.HIP.01_HIP,RS5-501307,ar_496100574,H501-1307,H14.09.087.HIP.01
H14.09.087,FWM,H14.09.087.PCx.01_FWM,RS5-501308,ar_496100587,H501-1308,H14.09.087.PCx.01
H14.09.087,PCx,H14.09.087.PCx.01_PCx,RS5-501309,ar_496100585,H501-1309,H14.09.087.PCx.01
H14.09.087,TCx,H14.09.087.TCx.01_TCx,RS5-501310,ar_496100588,H501-1310,H14.09.087.TCx.01
H14.09.088,HIP,H14.09.088.HIP.01_HIP,RS5-501311,ar_496100572,H501-1311,H14.09.088.HIP.01
H14.09.088,FWM,H14.09.088.PCx.01_FWM,RS5-501312,ar_496100600,H501-1312,H14.09.088.PCx.01
H14.09.088,PCx,H14.09.088.PCx.01_PCx,RS5-501313,ar_496100598,H501-1313,H14.09.088.PCx.01
H14.09.088,TCx,H14.09.088.TCx.01_TCx,RS5-501314,ar_496100601,H501-1314,H14.09.088.TCx.01
H14.09.089,HIP,H14.09.089.HIP.01_HIP,RS5-501315,ar_496100597,H501-1315,H14.09.089.HIP.01
H14.09.089,FWM,H14.09.089.PCx.01_FWM,RS5-501316,ar_496100596,H501-1316,H14.09.089.PCx.01
H14.09.089,PCx,H14.09.089.PCx.01_PCx,RS5-501317,ar_496100583,H501-1317,H14.09.089.PCx.01
H14.09.089,TCx,H14.09.089.TCx.01_TCx,RS5-501318,ar_496100591,H501-1318,H14.09.089.TCx.01
H14.09.090,HIP,H14.09.090.HIP.01_HIP,RS5-501319,ar_496100586,H501-1319,H14.09.090.HIP.01
H14.09.090,FWM,H14.09.090.PCx.01_FWM,RS5-501320,ar_496100592,H501-1320,H14.09.090.PCx.01
H14.09.090,PCx,H14.09.090.PCx.01_PCx,RS5-501321,ar_496100575,H501-1321,H14.09.090.PCx.01
H14.09.091,HIP,H14.09.091.HIP.01_HIP,RS5-501322,ar_496100582,H501-1322,H14.09.091.HIP.01
H14.09.091,FWM,H14.09.091.PCx.01_FWM,RS5-501323,ar_496100577,H501-1323,H14.09.091.PCx.01
H14.09.091,PCx,H14.09.091.PCx.01_PCx,RS5-501324,ar_496100603,H501-1324,H14.09.091.PCx.01
H14.09.091,TCx,H14.09.091.TCx.01_TCx,RS5-501325,ar_496100581,H501-1325,H14.09.091.TCx.01
H14.09.092,HIP,H14.09.092.HIP.01_HIP,RS5-501326,ar_496100579,H501-1326,H14.09.092.HIP.01
H14.09.092,FWM,H14.09.092.PCx.01_FWM,RS5-501327,ar_496100578,H501-1327,H14.09.092.PCx.01
H14.09.092,PCx,H14.09.092.PCx.01_PCx,RS5-501328,ar_496100580,H501-1328,H14.09.092.PCx.01
H14.09.092,TCx,H14.09.092.TCx.01_TCx,RS5-501329,ar_496100594,H501-1329,H14.09.092.TCx.01
H14.09.093,HIP,H14.09.093.HIP.01_HIP,RS5-501330,ar_496100635,H501-1330,H14.09.093.HIP.01
H14.09.093,FWM,H14.09.093.PCx.01_FWM,RS5-501331,ar_496100628,H501-1331,H14.09.093.PCx.01
H14.09.093,PCx,H14.09.093.PCx.01_PCx,RS5-501332,ar_496100631,H501-1332,H14.09.093.PCx.01
H14.09.093,TCx,H14.09.093.TCx.01_TCx,RS5-501333,ar_496100607,H501-1333,H14.09.093.TCx.01
H14.09.094,HIP,H14.09.094.HIP.01_HIP,RS5-501334,ar_496100622,H501-1334,H14.09.094.HIP.01
H14.09.094,FWM,H14.09.094.PCx.01_FWM,RS5-501335,ar_496100608,H501-1335,H14.09.094.PCx.01
H14.09.094,PCx,H14.09.094.PCx.01_PCx,RS5-501336,ar_496100630,H501-1336,H14.09.094.PCx.01
H14.09.094,TCx,H14.09.094.TCx.01_TCx,RS5-501337,ar_496100609,H501-1337,H14.09.094.TCx.01
H14.09.095,HIP,H14.09.095.HIP.01_HIP,RS5-501338,ar_496100634,H501-1338,H14.09.095.HIP.01
H14.09.095,FWM,H14.09.095.PCx.01_FWM,RS5-501339,ar_496100616,H501-1339,H14.09.095.PCx.01
H14.09.095,PCx,H14.09.095.PCx.01_PCx,RS5-501340,ar_496100614,H501-1340,H14.09.095.PCx.01
H14.09.095,TCx,H14.09.095.TCx.01_TCx,RS5-501341,ar_496100633,H501-1341,H14.09.095.TCx.01
H14.09.096,HIP,H14.09.096.HIP.01_HIP,RS5-501342,ar_496100619,H501-1342,H14.09.096.HIP.01
H14.09.096,FWM,H14.09.096.PCx.01_FWM,RS5-501343,ar_496100611,H501-1343,H14.09.096.PCx.01
H14.09.096,PCx,H14.09.096.PCx.01_PCx,RS5-501344,ar_496100641,H501-1344,H14.09.096.PCx.01
H14.09.096,TCx,H14.09.096.TCx.01_TCx,RS5-501345,ar_496100610,H501-1345,H14.09.096.TCx.01
H14.09.097,FWM,H14.09.097.PCx.01_FWM,RS5-501346,ar_496100626,H501-1346,H14.09.097.PCx.01
H14.09.097,PCx,H14.09.097.PCx.01_PCx,RS5-501347,ar_496100623,H501-1347,H14.09.097.PCx.01
H14.09.097,TCx,H14.09.097.TCx.01_TCx,RS5-501348,ar_496100627,H501-1348,H14.09.097.TCx.01
H14.09.098,FWM,H14.09.098.PCx.01_FWM,RS5-501349,ar_496100636,H501-1349,H14.09.098.PCx.01
H14.09.098,PCx,H14.09.098.PCx.01_PCx,RS5-501350,ar_496100618,H501-1350,H14.09.098.PCx.01
H14.09.098,TCx,H14.09.098.TCx.01_TCx,RS5-501351,ar_496100621,H501-1351,H14.09.098.TCx.01
H14.09.099,HIP,H14.09.099.HIP.01_HIP,RS5-501352,ar_496100629,H501-1352,H14.09.099.HIP.01
H14.09.099,FWM,H14.09.099.PCx.01_FWM,RS5-501353,ar_496100637,H501-1353,H14.09.099.PCx.01
H14.09.099,PCx,H14.09.099.PCx.01_PCx,RS5-501354,ar_496100642,H501-1354,H14.09.099.PCx.01
H14.09.099,TCx,H14.09.099.TCx.01_TCx,RS5-501355,ar_496100613,H501-1355,H14.09.099.TCx.01
H14.09.100,HIP,H14.09.100.HIP.01_HIP,RS5-501356,ar_496100615,H501-1356,H14.09.100.HIP.01
H14.09.100,FWM,H14.09.100.PCx.01_FWM,RS5-501357,ar_496100620,H501-1357,H14.09.100.PCx.01
H14.09.100,PCx,H14.09.100.PCx.01_PCx,RS5-501358,ar_496100606,H501-1358,H14.09.100.PCx.01
H14.09.100,TCx,H14.09.100.TCx.01_TCx,RS5-501359,ar_496100605,H501-1359,H14.09.100.TCx.01
H14.09.101,HIP,H14.09.101.HIP.01_HIP,RS5-501360,ar_496100632,H501-1360,H14.09.101.HIP.01
H14.09.101,FWM,H14.09.101.PCx.01_FWM,RS5-501361,ar_496100638,H501-1361,H14.09.101.PCx.01
H14.09.101,PCx,H14.09.101.PCx.01_PCx,RS5-501362,ar_496100624,H501-1362,H14.09.101.PCx.01
H14.09.101,TCx,H14.09.101.TCx.01_TCx,RS5-501363,ar_496100617,H501-1363,H14.09.101.TCx.01
H14.09.102,HIP,H14.09.102.HIP.01_HIP,RS5-501364,ar_496100612,H501-1364,H14.09.102.HIP.01
H14.09.102,FWM,H14.09.102.PCx.01_FWM,RS5-501365,ar_496100625,H501-1365,H14.09.102.PCx.01
H14.09.102,PCx,H14.09.102.PCx.01_PCx,RS5-501366,ar_496100640,H501-1366,H14.09.102.PCx.01
H14.09.102,TCx,H14.09.102.TCx.01_TCx,RS5-501367,ar_496100639,H501-1367,H14.09.102.TCx.01
H15.09.103,HIP,H15.09.103.HIP.01_HIP,RS5-501368,ar_496100671,H501-1368,H15.09.103.HIP.01
H15.09.103,FWM,H15.09.103.PCx.01_FWM,RS5-501369,ar_496100669,H501-1369,H15.09.103.PCx.01
H15.09.103,PCx,H15.09.103.PCx.01_PCx,RS5-501370,ar_496100661,H501-1370,H15.09.103.PCx.01
H15.09.103,TCx,H15.09.103.TCx.01_TCx,RS5-501371,ar_496100667,H501-1371,H15.09.103.TCx.01
H15.09.104,HIP,H15.09.104.HIP.01_HIP,RS5-501372,ar_496100656,H501-1372,H15.09.104.HIP.01
H15.09.104,FWM,H15.09.104.PCx.01_FWM,RS5-501373,ar_496100660,H501-1373,H15.09.104.PCx.01
H15.09.104,PCx,H15.09.104.PCx.01_PCx,RS5-501374,ar_496100659,H501-1374,H15.09.104.PCx.01
H15.09.104,TCx,H15.09.104.TCx.01_TCx,RS5-501375,ar_496100647,H501-1375,H15.09.104.TCx.01
H15.09.106,HIP,H15.09.106.HIP.01_HIP,RS5-501380,ar_496100654,H501-1380,H15.09.106.HIP.01
H15.09.106,TCx,H15.09.106.TCx.01_TCx,RS5-501381,ar_496100663,H501-1381,H15.09.106.TCx.01
H15.09.107,HIP,H15.09.107.HIP.01_HIP,RS5-501382,ar_496100644,H501-1382,H15.09.107.HIP.01
H15.09.107,FWM,H15.09.107.PCx.01_FWM,RS5-501383,ar_496100658,H501-1383,H15.09.107.PCx.01
H15.09.107,PCx,H15.09.107.PCx.01_PCx,RS5-501384,ar_496100665,H501-1384,H15.09.107.PCx.01
H15.09.107,TCx,H15.09.107.TCx.01_TCx,RS5-501385,ar_496100670,H501-1385,H15.09.107.TCx.01
H15.09.108,HIP,H15.09.108.HIP.01_HIP,RS5-501386,ar_496100645,H501-1386,H15.09.108.HIP.01
H15.09.108,FWM,H15.09.108.PCx.01_FWM,RS5-501387,ar_496100672,H501-1387,H15.09.108.PCx.01
H15.09.108,PCx,H15.09.108.PCx.01_PCx,RS5-501388,ar_496100648,H501-1388,H15.09.108.PCx.01
H15.09.108,TCx,H15.09.108.TCx.01_TCx,RS5-501389,ar_496100643,H501-1389,H15.09.108.TCx.01
H15.09.109,HIP,H15.09.109.HIP.01_HIP,RS5-501390,ar_496100666,H501-1390,H15.09.109.HIP.01
H15.09.109,FWM,H15.09.109.PCx.01_FWM,RS5-501391,ar_496100651,H501-1391,H15.09.109.PCx.01
H15.09.109,PCx,H15.09.109.PCx.01_PCx,RS5-501392,ar_496100652,H501-1392,H15.09.109.PCx.01
H15.09.109,TCx,H15.09.109.TCx.01_TCx,RS5-501393,ar_496100650,H501-1393,H15.09.109.TCx.01
H15.09.110,HIP,H15.09.110.HIP.01_HIP,RS5-501394,ar_496100664,H501-1394,H15.09.110.HIP.01
H15.09.110,FWM,H15.09.110.PCx.01_FWM,RS5-501395,ar_496100657,H501-1395,H15.09.110.PCx.01
H15.09.110,PCx,H15.09.110.PCx.01_PCx,RS5-501396,ar_496100653,H501-1396,H15.09.110.PCx.01
H15.09.110,TCx,H15.09.110.TCx.01_TCx,RS5-501397,ar_496100646,H501-1397,H15.09.110.TCx.01